"We are hiring","Ми наймаємо"
"Department","Відділення"
"Departments","Відділення"
"Department : ","Відділення : "
"New Department","Нове відділення"
"Department Name","Назва відділення"
"Department Description","Опис відділення"
"Save and Continue Edit","Зберегти та продовжити редагування"
"Save Department","Зберегти відділення"
"General Information","Загальна інформація"
"Add New Department","Створити нове відділення"
"Department saved","Відділення збережено"
"Department deleted","Відділення видалено"
"Name","Назва"
"A total of %1 record(s) have been deleted.","%1 запис(-ів) було видалено"
"Job","Робота"
"Jobs","Види робіт"
"New Job","Нова робота"
"Save and Continue Edit","Зберегти та продовжити редагування"
"Save Job","Зберегти роботу"
"General Information","Загальна інформація"
"Add New job","Створити нову роботу"
"Job saved","Робота збережена"
"Job deleted","Робота видалена"
"Title","Заголовок"
"Type","Тип"
"Location","Місцезнаходження"
"Date","Дата"
"Status","Статус"
"Enabled","Дозволено"
"Disabled","Заборонено"
